idx,sample_id,label,system_id,logit,sigmoid_prob,pred,kl_combined,kl_h0,kl_h1,kl_h2,kl_h3,kl_h4,kl_h5
247,247,1,A04,9.98139,0.99995,1,0.439568,0.370863,0.458368,0.302954,0.427594,0.753754,0.323877
248,248,1,A06,3.20662,0.96108,1,0.302279,0.259651,0.308562,0.329044,0.262131,0.476261,0.178023
249,249,1,A03,4.65047,0.99053,1,0.265442,0.185808,0.270951,0.348354,0.266446,0.265048,0.256048
250,250,1,A01,8.61276,0.99982,1,0.268125,0.186048,0.346828,0.236828,0.343220,0.311244,0.184581
251,251,1,A05,5.06116,0.99370,1,0.396543,0.468954,0.377987,0.385947,0.410407,0.420286,0.315679
252,252,0,-,0.37354,0.59231,1,0.422706,0.349491,0.501401,0.381408,0.538776,0.422403,0.342756
253,253,1,A05,2.78630,0.94193,1,0.526447,0.340496,0.500223,0.666966,0.527958,0.741611,0.381427
254,254,1,A01,10.97996,0.99998,1,0.297084,0.168712,0.384405,0.186988,0.260418,0.624665,0.157317
255,255,1,A03,9.76817,0.99994,1,0.258186,0.210972,0.281062,0.251302,0.334507,0.298089,0.173186
256,256,1,A05,3.04509,0.95457,1,1.158975,1.426382,1.081945,1.305615,1.349173,0.801100,0.989633
257,257,1,A05,-0.58878,0.35691,0,0.335991,0.234555,0.416389,0.312607,0.382739,0.365202,0.304455
258,258,1,A04,8.24719,0.99974,1,0.230547,0.162522,0.228492,0.204606,0.227833,0.361703,0.198127
259,259,1,A04,10.34913,0.99997,1,0.227551,0.200245,0.291030,0.180057,0.231795,0.320482,0.141697
260,260,1,A05,5.94389,0.99739,1,0.387864,0.304437,0.460221,0.325306,0.476002,0.445216,0.316003
261,261,1,A01,9.01532,0.99988,1,1.117974,0.755422,1.994150,0.933268,1.037707,1.102938,0.884357
262,262,1,A05,5.27563,0.99491,1,0.224803,0.172679,0.233407,0.257209,0.231880,0.312093,0.141549
263,263,1,A03,10.38888,0.99997,1,0.155724,0.155631,0.161988,0.119220,0.141322,0.261217,0.094964
264,264,1,A03,7.52312,0.99946,1,0.146639,0.077194,0.238231,0.150732,0.110825,0.207806,0.095044
265,265,1,A01,9.68854,0.99994,1,0.247157,0.197447,0.259869,0.223561,0.338496,0.301440,0.162131
266,266,0,-,2.86626,0.94615,1,0.126968,0.120803,0.138152,0.112780,0.136195,0.151047,0.102831
267,267,1,A04,9.98337,0.99995,1,0.228527,0.158742,0.308658,0.185620,0.244151,0.315185,0.158804
268,268,1,A03,6.50746,0.99851,1,0.167517,0.144560,0.211232,0.189208,0.177304,0.193529,0.089266
269,269,1,A06,5.78353,0.99693,1,0.287930,0.209607,0.365165,0.278271,0.331252,0.256254,0.287031
270,270,1,A02,7.95698,0.99965,1,0.350089,0.357157,0.453549,0.349396,0.362320,0.332209,0.245902
271,271,1,A03,9.52965,0.99993,1,0.232301,0.149066,0.219682,0.228512,0.251389,0.367579,0.177578
272,272,1,A02,6.93657,0.99903,1,0.248244,0.264101,0.251966,0.174302,0.249717,0.376126,0.173254
273,273,1,A03,3.87068,0.97958,1,0.362443,0.271191,0.534566,0.284915,0.425541,0.403428,0.255018
274,274,1,A01,8.01946,0.99967,1,0.171199,0.182186,0.164237,0.169769,0.146879,0.256345,0.107778
275,275,1,A03,6.77941,0.99886,1,0.279375,0.246485,0.397402,0.222283,0.232036,0.391717,0.186325
276,276,1,A01,8.94394,0.99987,1,0.294928,0.236962,0.367594,0.279803,0.328599,0.359659,0.196951
277,277,0,-,-0.12244,0.46943,0,0.222023,0.260268,0.245766,0.180507,0.224894,0.253416,0.167289
278,278,1,A04,6.98286,0.99907,1,0.284106,0.226398,0.297023,0.280961,0.373393,0.282648,0.244215
279,279,1,A06,8.86787,0.99986,1,0.367281,0.281986,0.502134,0.312238,0.333914,0.476167,0.297249
280,280,1,A01,8.92557,0.99987,1,0.192522,0.152620,0.255643,0.175279,0.211484,0.239836,0.120269
281,281,1,A05,4.39816,0.98785,1,0.582796,0.381685,0.638939,0.428792,0.733784,0.902268,0.411307
282,282,1,A06,1.85538,0.86476,1,0.759263,0.624574,1.041142,0.712683,0.716275,0.911391,0.549511
283,283,1,A05,4.59863,0.99003,1,1.003706,1.140618,0.793233,1.644667,1.088485,0.728796,0.626439
284,284,0,-,-1.16703,0.23739,0,0.531993,0.314926,1.089022,0.420944,0.512170,0.566542,0.288356
285,285,1,A02,9.05374,0.99988,1,0.157510,0.104016,0.195244,0.097534,0.143819,0.312711,0.091737
286,286,1,A04,9.34586,0.99991,1,0.392120,0.291003,0.439404,0.370652,0.482716,0.480974,0.287968
287,287,1,A02,10.69517,0.99998,1,0.264918,0.166263,0.401835,0.188738,0.259653,0.378675,0.194346
288,288,1,A03,6.68635,0.99875,1,0.349169,0.263844,0.364865,0.358656,0.460383,0.344414,0.302853
289,289,1,A06,4.72317,0.99119,1,0.224621,0.151535,0.358767,0.176938,0.226276,0.281925,0.152285
290,290,1,A02,9.32977,0.99991,1,0.248022,0.168165,0.367956,0.166987,0.231675,0.380390,0.172956
291,291,1,A04,8.05757,0.99968,1,0.197619,0.155834,0.241078,0.136023,0.199947,0.314867,0.137963
292,292,0,-,-0.61020,0.35201,0,0.534670,0.590283,0.512369,0.509840,0.646555,0.636315,0.312655
293,293,0,-,-0.52285,0.37219,0,0.422302,0.363435,0.493443,0.374915,0.469061,0.517416,0.315546
294,294,1,A03,5.23246,0.99469,1,0.184302,0.134809,0.255010,0.155913,0.193676,0.269992,0.096410
295,295,1,A02,8.07039,0.99969,1,0.175608,0.120699,0.249258,0.143179,0.165424,0.257155,0.117933
296,296,0,-,-0.63536,0.34630,0,0.743128,0.770417,0.691486,0.650993,0.910773,0.808434,0.626662
297,297,1,A04,8.20992,0.99973,1,0.260822,0.159540,0.354532,0.248344,0.337000,0.331556,0.133959
298,298,1,A03,9.29165,0.99991,1,0.182980,0.140867,0.235026,0.193517,0.185361,0.217587,0.125525
299,299,1,A03,9.40712,0.99992,1,0.252164,0.255125,0.372975,0.224719,0.221443,0.291564,0.147161
300,300,1,A02,8.26642,0.99974,1,0.381037,0.377112,0.363624,0.315094,0.434848,0.547347,0.248195
301,301,1,A04,9.48706,0.99992,1,0.395030,0.259649,0.536222,0.305261,0.429238,0.543959,0.295851
302,302,0,-,2.99763,0.95247,1,0.308107,0.251019,0.349006,0.260678,0.334179,0.399089,0.254669
303,303,1,A06,0.35532,0.58791,1,0.273412,0.170960,0.357768,0.248282,0.289136,0.261553,0.312772
304,304,1,A04,1.10050,0.75035,1,0.274111,0.167107,0.380769,0.206577,0.332707,0.363724,0.193783
305,305,1,A06,0.60408,0.64659,1,0.198660,0.149417,0.229838,0.181673,0.210340,0.255256,0.165433
306,306,1,A04,6.84282,0.99893,1,0.236583,0.177589,0.276557,0.179669,0.258390,0.386071,0.141220
307,307,1,A05,6.14632,0.99786,1,0.391823,0.341233,0.500037,0.294022,0.466710,0.506014,0.242924
308,308,1,A03,7.18430,0.99924,1,0.228212,0.259339,0.228669,0.215340,0.167836,0.394465,0.103625
309,309,1,A04,8.80053,0.99985,1,0.489746,0.286022,0.609989,0.429321,0.474930,0.665996,0.472215
310,310,1,A05,6.77482,0.99886,1,0.586200,0.500132,0.805768,0.511735,0.699299,0.556090,0.444175
311,311,1,A04,8.86296,0.99986,1,0.280103,0.232047,0.249154,0.268398,0.326909,0.358320,0.245791
312,312,1,A05,9.44004,0.99992,1,0.322410,0.279591,0.319382,0.300773,0.395647,0.367122,0.271942
313,313,1,A03,10.35218,0.99997,1,0.295163,0.191760,0.352630,0.241443,0.371733,0.374091,0.239322
314,314,1,A03,5.77548,0.99691,1,0.220950,0.218645,0.290674,0.137167,0.223894,0.330475,0.124843
315,315,1,A04,7.13089,0.99920,1,0.349237,0.264643,0.324602,0.303069,0.408026,0.581978,0.213105
316,316,1,A04,5.10850,0.99399,1,0.325665,0.288983,0.298628,0.331499,0.383994,0.352233,0.298654
317,317,1,A05,10.36301,0.99997,1,0.338310,0.299526,0.337782,0.310359,0.444471,0.412313,0.225407
318,318,1,A04,5.80465,0.99700,1,0.267712,0.169488,0.365490,0.293678,0.191785,0.416223,0.169612
319,319,1,A01,10.63429,0.99998,1,0.265603,0.201635,0.267567,0.309087,0.263468,0.368668,0.183191
320,320,0,-,2.03575,0.88450,1,0.216592,0.184480,0.179628,0.194723,0.308927,0.320064,0.111731
321,321,0,-,0.74810,0.67876,1,0.191362,0.173816,0.232494,0.148482,0.211204,0.238707,0.143467
322,322,0,-,6.85626,0.99895,1,0.439204,0.361797,0.636194,0.353242,0.413794,0.501581,0.368614
323,323,1,A04,8.50609,0.99980,1,0.311602,0.322824,0.351621,0.235596,0.318776,0.458709,0.182087
324,324,1,A02,3.85896,0.97935,1,0.304729,0.199865,0.350039,0.249587,0.335879,0.490029,0.202974
325,325,1,A04,10.46908,0.99997,1,0.341432,0.219006,0.358014,0.289715,0.402946,0.500707,0.278202
326,326,1,A05,9.50593,0.99993,1,0.878051,1.120226,0.746487,0.871586,1.215865,0.761967,0.552177
327,327,1,A02,10.52769,0.99997,1,0.358004,0.259106,0.301906,0.351411,0.312984,0.622851,0.299764
328,328,1,A02,11.22112,0.99999,1,0.219000,0.153973,0.280218,0.161174,0.226769,0.402538,0.089331
329,329,1,A03,9.10234,0.99989,1,0.182444,0.116002,0.214324,0.133910,0.191043,0.331179,0.108208
330,330,1,A04,10.72293,0.99998,1,0.228714,0.139431,0.282396,0.339122,0.193392,0.246256,0.171688
331,331,1,A03,8.50559,0.99980,1,0.200952,0.202335,0.205081,0.179654,0.260613,0.225818,0.132208
332,332,0,-,-1.29980,0.21420,0,0.321905,0.223435,0.400496,0.272552,0.409774,0.375660,0.249515
333,333,1,A03,6.66493,0.99873,1,0.275293,0.221547,0.317647,0.227662,0.198677,0.487556,0.198668
334,334,0,-,6.29863,0.99816,1,0.215179,0.179920,0.246361,0.175336,0.201765,0.326622,0.161074
335,335,1,A06,3.07762,0.95596,1,0.555229,0.466497,0.724694,0.526407,0.634322,0.604168,0.375285
336,336,1,A01,8.50480,0.99980,1,0.195276,0.137729,0.242452,0.142789,0.199187,0.314438,0.135059
337,337,1,A01,10.46313,0.99997,1,0.277801,0.161376,0.399433,0.180906,0.263138,0.542835,0.119118
338,338,0,-,4.47789,0.98877,1,0.460078,0.292966,0.631873,0.358620,0.402647,0.763100,0.311261
339,339,1,A01,7.68342,0.99954,1,0.399631,0.324317,0.505035,0.381245,0.433304,0.423499,0.330384
340,340,1,A01,9.75222,0.99994,1,0.349392,0.254279,0.461872,0.306840,0.388648,0.433867,0.250846
341,341,1,A02,3.34222,0.96585,1,0.268842,0.326984,0.388697,0.236622,0.225669,0.246706,0.188375
342,342,1,A01,9.76384,0.99994,1,0.445946,0.285124,0.624774,0.304761,0.375892,0.853815,0.231312
343,343,1,A03,7.87615,0.99962,1,0.371591,0.325438,0.361155,0.349827,0.348349,0.545737,0.299040
344,344,1,A06,-0.15136,0.46223,0,0.355684,0.326321,0.398643,0.321405,0.373687,0.457407,0.256640
345,345,1,A05,9.10524,0.99989,1,0.681865,0.547857,0.927901,0.694666,0.702193,0.729628,0.488943
346,346,1,A06,4.71312,0.99110,1,0.185200,0.114496,0.319523,0.108677,0.129415,0.351236,0.087851
347,347,1,A05,5.39055,0.99546,1,0.397599,0.296675,0.391714,0.385436,0.363677,0.572693,0.375397
348,348,0,-,3.95167,0.98114,1,0.423764,0.287562,0.579972,0.293170,0.555732,0.537683,0.288467
349,349,1,A01,11.64498,0.99999,1,0.225173,0.257615,0.248868,0.148595,0.257592,0.309109,0.129257
